"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/ANTING-KLIP-HATI-SUPER-RINGAN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.42261094198?extraParams=%7B%22display_model_id%22%3A224390479881%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdx8-mcvfrlv7f0me31","ANTING KLIP HATI SUPER RINGAN - EMAS 17K - BUNGA TANJUNG GOLD","3.276.000","Pilih Lokal","5.0","3 terjual"
"https://shopee.co.id/ANTING-KLIP-TASYA-FLOWER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.46710264449?extraParams=%7B%22display_model_id%22%3A410901041290%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wq-mo29cfnphpfsde","ANTING KLIP TASYA FLOWER - EMAS 17K - BUNGA TANJUNG GOLD","3.024.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-KUPU-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.53858666316?extraParams=%7B%22display_model_id%22%3A320768027390%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822ws-mmy13r2e2491f7","ANTING KLIP KUPU BLINK  - EMAS 17K - BUNGA TANJUNG GOLD","6.174.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-FASHION-KLIP-CLOVER-C-LY-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.25776943940?extraParams=%7B%22display_model_id%22%3A217897619401%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224z-mkt9pa2mtibm99","ANTING FASHION KLIP CLOVER C LY - EMAS 17K - BUNGA TANJUNG GOLD","19.610.000","Pilih Lokal","4.8","15 terjual"
"https://shopee.co.id/ANTING-KLIP-CHARLOTTE-LAYER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55408917961?extraParams=%7B%22display_model_id%22%3A302541654364%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-mnxsek1kgxza33","ANTING KLIP CHARLOTTE LAYER - EMAS 17K - BUNGA TANJUNG GOLD","5.544.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-CLOVER-ARSIR-SLIM-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.24216406806?extraParams=%7B%22display_model_id%22%3A178085488168%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224z-mkt2vnner47638","ANTING TINDIK CLOVER ARSIR SLIM - EMAS 17K - BUNGA TANJUNG GOLD","4.536.000","Pilih Lokal","5.0","54 terjual"
"https://shopee.co.id/ANTING-TINDIK-KIPAS-LT-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.44280493197?extraParams=%7B%22display_model_id%22%3A315860263169%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wg-mnnp0bip9wxsf7","ANTING TINDIK KIPAS LT  - EMAS 17K - BUNGA TANJUNG GOLD","8.568.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-PITA-C-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.41420536756?extraParams=%7B%22display_model_id%22%3A301677693624%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mnay2vtqudxf0c","ANTING TINDIK PITA C BOLD - EMAS 18K - BUNGA TANJUNG GOLD","5.922.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-LISTRING-G-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27986857253?extraParams=%7B%22display_model_id%22%3A243446923314%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mmwobdul1gqu33","ANTING KLIP LISTRING G - EMAS 17K - BUNGA TANJUNG GOLD","4.410.000","Pilih Lokal","5.0","5 terjual"
"https://shopee.co.id/ANTING-TINDIK-KIPAS-BS-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.43022899115?extraParams=%7B%22display_model_id%22%3A330625907998%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822ws-mln3t05vjqit69","ANTING TINDIK KIPAS BS - EMAS 17K - BUNGA TANJUNG GOLD","6.174.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-FLOWER-BLINK-LY-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.56401231421?extraParams=%7B%22display_model_id%22%3A259084006509%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224y-mkxjqk4760ox88","ANTING TINDIK FLOWER BLINK LY - EMAS 17K - BUNGA TANJUNG GOLD","13.860.000","Pilih Lokal","4.9 Penilaian Toko",""
