"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/CINCIN-UNLIMITED-LINE-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.47359153041?extraParams=%7B%22display_model_id%22%3A440809660188%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wu-mn9lk0qug4ck2b","CINCIN UNLIMITED LINE BOLD - EMAS 18K - BUNGA TANJUNG GOLD","8.316.000","Pilih Lokal","5.0","1 terjual"
"https://shopee.co.id/CINCIN-UNLIMITED-BUBBLE-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.49308215559?extraParams=%7B%22display_model_id%22%3A216387161779%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mmlfomsypr7m24","CINCIN UNLIMITED BUBBLE RING - EMAS 17K - BUNGA TANJUNG GOLD","5.796.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-BOBBA-PLAT-H-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.57909132250?extraParams=%7B%22display_model_id%22%3A335809424847%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wq-mn9jvk95064j8e","CINCIN BOBBA PLAT H BOLD - EMAS 18K - BUNGA TANJUNG GOLD","4.536.000","2 terjual","5.0",""
"https://shopee.co.id/CINCIN-TINJU-TETES-GEO-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55108992875?extraParams=%7B%22display_model_id%22%3A355797700724%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wp-mn5hyhy7im86ce","CINCIN TINJU TETES GEO - EMAS 17K - BUNGA TANJUNG GOLD","9.324.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-RYLIE-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.29973315183?extraParams=%7B%22display_model_id%22%3A302214721405%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mn9v2z5qjbpk64","CINCIN RYLIE BOLD - EMAS 18K - BUNGA TANJUNG GOLD","4.284.000","Pilih Lokal","5.0","26 terjual"
"https://shopee.co.id/CINCIN-CHAIN-SLIM-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.16223881506?extraParams=%7B%22display_model_id%22%3A243991414005%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82250-ml0dbqsp1edd90","CINCIN CHAIN SLIM - EMAS 17K - BUNGA TANJUNG GOLD","3.099.000","Pilih Lokal","4.9","141 terjual"
"https://shopee.co.id/CINCIN-TINJU-KIPAS-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.42920393721?extraParams=%7B%22display_model_id%22%3A395830763736%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224s-mkutvzupmosi0a","CINCIN TINJU KIPAS BLINK - EMAS 17K - BUNGA TANJUNG GOLD","4.662.000","Pilih Lokal","5.0","3 terjual"
"https://shopee.co.id/CINCIN-GOLDEN-LOVE-B-SDW-GOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.15651465855?extraParams=%7B%22display_model_id%22%3A345392150354%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224z-mkrivnf0o7ia3b","CINCIN GOLDEN LOVE B - SDW GOLD - EMAS 18K - BUNGA TANJUNG GOLD","3.402.000","Pilih Lokal","4.9","737 terjual"
"https://shopee.co.id/CINCIN-KUPU-TWIN-LAYER-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.55709149492?extraParams=%7B%22display_model_id%22%3A325810949181%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wm-mn9sc7noowskba","CINCIN KUPU TWIN LAYER BOLD - EMAS 18K - BUNGA TANJUNG GOLD","7.182.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-BELINA-BOBBA-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27344729327?extraParams=%7B%22display_model_id%22%3A307591947694%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822ws-mnuv3fw9tr7m95","CINCIN BELINA BOBBA BLINK - EMAS 17K - BUNGA TANJUNG GOLD","10.962.000","","4.9 Penilaian Toko",""
