nama_produk,harga,lokasi,rating,terjual
GELANG BANGLE UNLIMITED SQUARE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,22.108.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG NEW ARRIVAL 21 - EMAS 17K - BUNGA TANJUNG GOLD,19.665.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU ULAR   - EMAS 17K - BUNGA TANJUNG GOLD,19.375.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BOBBA PLAT UNTIR HATI - EMAS 17K - BUNGA TANJUNG GOLD,10.144.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FASHION BANGLE UNTIR MATA B - EMAS 17K - BUNGA TANJUNG GOLD,15.994.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE POLOS WAVE C - EMAS 17K - BUNGA TANJUNG GOLD,27.324.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CHOKER 5 LAYER BOBBA B - EMAS 17K - BUNGA TANJUNG GOLD,22.549.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT TETES SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,3.654.000,Pilih Lokal,4.3,7 terjual
GELANG CHARLOTTE GOLD - EMAS 17K - BUNGA TANJUNG GOLD,6.727.000,Pilih Lokal,4.8,4RB+ terjual
GELANG JEDAR SISIK NAGA - EMAS 17K - BUNGA TANJUNG GOLD,4.022.000,Pilih Lokal,4.9,4RB+ terjual
GELANG SERUT NEWBORN ANAK - EMAS 17K - BUNGA TANJUNG GOLD,5.465.000,Pilih Lokal,4.8,107 terjual
GELANG HOLLOW RUMBAI BOLA 3W - EMAS 17K - BUNGA TANJUNG GOLD,61.456.000,Pilih Lokal,5.0,1 terjual
GELANG HOLOGRAM RAINBOW FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,42.608.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU TEDDY BEAR - EMAS 17K - BUNGA TANJUNG GOLD,53.459.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI ULAR VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,16.884.000,Pilih Lokal,4.8,6 terjual
GELANG CHARLOTTE VAR MATA LY - EMAS 17K - BUNGA TANJUNG GOLD,41.085.000,Pilih Lokal,5.0,2 terjual
GELANG CHARLOTTE LARGE  MATA - EMAS 17K - EMAS 17K - BUNGA TANJUNG GOLD,34.873.000,Pilih Lokal,4.9 Penilaian Toko,
CINCIN FLORAL SAKURA - EMAS 17K - BUNGA TANJUNG GOLD,2.016.000,Pilih Lokal,4.9,135 terjual
GELANG EMAS HOLLOW CLASSIC CHAIN - EMAS 17K - BUNGA TANJUNG GOLD,1.427.000,Pilih Lokal,4.9,520 terjual
GELANG TALI KEPANG BOBBA VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,2.394.000,Pilih Lokal,5.0,15 terjual
GELANG HOLLOW FANCY VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,1.167.000,Pilih Lokal,4.9,733 terjual
GELANG KIDS ANAK HOLLOW RUMBAI VARIASI VOL 2 - EMAS 17K - BUNGA TANJUNG GOLD,7.342.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HOLLOW LUXURY HATI KUPU - EMAS 17K - BUNGA TANJUNG GOLD,30.940.000,Pilih Lokal,4.0,2 terjual
GELANG TALI RED LINK - EMAS 17K - BUNGA TANJUNG GOLD,2.266.000,Pilih Lokal,5.0,7 terjual
GELANG RANTAI PITA VARIASI B - EMAS 17K - BUNGA TANJUNG GOLD,21.632.000,Pilih Lokal,5.0,1 terjual
GELANG BOLA GEMBOK - EMAS 17K - BUNGA TANJUNG GOLD,26.703.000,Pilih Lokal,4.9,77 terjual
GELANG SERUT SOLENE THREE LOVE - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,5.589.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CHOKER ELEZTRA - EMAS 17K - BUNGA TANJUNG GOLD,6.804.000,Pilih Lokal,4.9,629 terjual
GELANG EMAS CHOKER SILK LINE - EMAS 17K - BUNGA TANJUNG GOLD,2.608.000,Pilih Lokal,5.0,108 terjual
GELANG CHARLOTTE ARSIR B - EMAS 17K - BUNGA TANJUNG GOLD,23.436.000,Pilih Lokal,5.0,9 terjual
GELANG FLOREN OSCANO SHIMMER CLOVER - EMAS 17K - BUNGA TANJUNG GOLD,2.268.000,Pilih Lokal,4.9,308 terjual
GELANG SERUT SOLENE TWIN COLOR - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,5.713.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SABUK BELT - EMAS 17K - BUNGA TANJUNG GOLD,40.068.000,Pilih Lokal,5.0,25 terjual
GELANG SERUT KIPAS BLINK BS - EMAS 17K - BUNGA TANJUNG GOLD,6.210.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KRAWANG BATIK - EMAS 17K - BUNGA TANJUNG GOLD,31.726.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG ZEFIA BLOOM E - EMAS 17K - BUNGA TANJUNG GOLD,4.943.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG ZEFIA BLOOM A - EMAS 17K - BUNGA TANJUNG GOLD,6.458.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BOBBA BUBBLE POP TEDDY BEAR - EMAS 17K - BUNGA TANJUNG GOLD,23.688.000,Pilih Lokal,5.0,5 terjual
GELANG KIDS ANAK LOTSO - EMAS 17K - BUNGA TANJUNG GOLD,5.216.000,,4.9 Penilaian Toko,
GELANG LAYER MERICA B - EMAS 17K - BUNGA TANJUNG GOLD,8.568.000,Pilih Lokal,5.0,15 terjual
GELANG KIDS ANAK BABY NEWBORN A - EMAS 17K - BUNGA TANJUNG GOLD,6.845.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE ECROW - EMAS 17K - BUNGA TANJUNG GOLD,31.374.000,Pilih Lokal,5.0,16 terjual
GELANG BOBBA BUBBLE POP VAR HATI PITA C - EMAS 17K - BUNGA TANJUNG GOLD,26.744.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG TAMBANG X BOBBA BUBBLE POP - EMAS 17K - BUNGA TANJUNG GOLD,21.238.000,Pilih Lokal,4.0,1 terjual
GELANG FLOREA D - EMAS 17K - BUNGA TANJUNG GOLD,5.637.000,Pilih Lokal,5.0,1 terjual
GELANG SERUT GOLDEN LOVE MINI - EMAS 18K - BUNGA TANJUNG GOLD,4.410.000,,4.9 Penilaian Toko,
GELANG BANGLE ZEFIA BLOOM B - EMAS 17K - BUNGA TANJUNG GOLD,9.688.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP RUMBAI UNICORN - EMAS 17K - BUNGA TANJUNG GOLD,26.482.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT CHARLOTTE CHAIN - EMAS 17K - BUNGA TANJUNG GOLD,6.583.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIDS ANAK MICKEY POLOS - EMAS 17K - BUNGA TANJUNG GOLD,4.720.000,2 terjual,5.0,
GELANG SERUT SOLENE DJUJU GEOMETRI - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,7.204.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HERME KELLY - EMAS 17K - BUNGA TANJUNG GOLD,24.840.000,69 terjual,4.9,
GELANG SERUT KEPANG BOBBA GLITTER - EMAS 17K - BUNGA TANJUNG GOLD,6.707.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SPARKLE LINE BULAT - EMAS 17K - BUNGA TANJUNG GOLD,9.563.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,21.114.000,,4.9 Penilaian Toko,
GELANG BANGLE ULAR WARNA BLINK KH - EMAS 17K - BUNGA TANJUNG GOLD,39.592.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RUMBAI KIGUNA - EMAS 17K - BUNGA TANJUNG GOLD,13.414.000,,4.9 Penilaian Toko,
GELANG BANGLE ULAR D - EMAS 17K - BUNGA TANJUNG GOLD,24.095.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HOLLOW RUMBAI BOBBA KRAWANG WARNA - EMAS 17K - BUNGA TANJUNG GOLD,17.830.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG JEDAR ROSARIO - EMAS 17K - BUNGA TANJUNG GOLD,6.552.000,Pilih Lokal,5.0,14 terjual
GELANG BANGLE SHIMMER LINE - EMAS 17K - BUNGA TANJUNG GOLD,9.936.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU KIPAS SLIM - EMAS 17K - BUNGA TANJUNG GOLD,9.191.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT CLOVER MATA - EMAS 17K - BUNGA TANJUNG GOLD,7.283.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE DAINY BLINK - EMAS 17K - BUNGA TANJUNG GOLD,6.707.000,,4.9 Penilaian Toko,
GELANG KIZUNA CLOVER - EMAS 17K - BUNGA TANJUNG GOLD,4.032.000,,4.9 Penilaian Toko,
GELANG TWIN WILLOW LEAF LARGE - EMAS 17K - BUNGA TANJUNG GOLD,23.101.000,,4.9 Penilaian Toko,
GELANG KAINA TWIN LAYER  - EMAS 17K - BUNGA TANJUNG GOLD,7.576.000,,4.9 Penilaian Toko,
GELANG BANGLE KIARA BLINK A - EMAS 17K - BUNGA TANJUNG GOLD,19.927.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FLUREA - EMAS 17K - BUNGA TANJUNG GOLD,6.162.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU HOLLOW- EMAS 17K - BUNGA TANJUNG GOLD,38.875.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG TOOGLE PAPERCLIP - EMAS 17K - BUNGA TANJUNG GOLD,22.428.000,Pilih Lokal,4.6,23 terjual
GELANG PAPERCLIP HATI BOLA BUNGA MAWAR - MAS 17K - BUNGA TANJUNG GOLD,24.385.000,Pilih Lokal,5.0,1 terjual
GELANG REFLECTA FANIA BOX CHAIN - EMAS 18K - BUNGA TANJUNG GOLD,9.072.000,,4.9 Penilaian Toko,
GELANG SISIK NAGA RUMBAI BOLA HATI - EMAS 17K - BUNGA TANJUNG GOLD,8.915.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE WILLOW LEAF LARGE - EMAS 17K - BUNGA TANJUNG GOLD,19.996.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SOLENE LOVE BOBBA - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,7.700.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT MOLLY MIRROR VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,4.457.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP VARIASI RUMBAI BOLA B - EMAS 17K - BUNGA TANJUNG GOLD,43.263.000,Pilih Lokal,5.0,2 terjual
GELANG KIDS ANAK ANIMALS GAJAH - EMAS 17K - BUNGA TANJUNG GOLD,4.471.000,,4.9 Penilaian Toko,
GELANG HOLLOW RUMBAI VARIASI PEGASUS WT - EMAS 17K - BUNGA TANJUNG,6.210.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE CHEVRON POLOS - EMAS 17K - BUNGA TANJUNG GOLD,15.525.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT FLOWER DISCO - EMAS 17K - BUNGA TANJUNG GOLD,4.347.000,Pilih Lokal,5.0,1 terjual
GELANG FLOREA B - EMAS 17K - BUNGA TANJUNG GOLD,6.031.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT KIPAS GLOW - EMAS 17K - BUNGA TANJUNG GOLD,4.223.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FASHION RANTAI ARROW LY - EMAS 17K - BUNGA TANJUNG GOLD,42.195.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE LAYER ULAR WT - EMAS 17K - BUNGA TANJUNG GOLD,39.330.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG GEOMETRI CLASH - EMAS 17K - BUNGA TANJUNG GOLD,21.362.000,,4.9 Penilaian Toko,
GELANG SISIK NAGA GLOSSY C - EMAS 17K - BUNGA TANJUNG GOLD,54.508.000,Pilih Lokal,5.0,2 terjual
GELANG BANGLE SOLENE LOVELY BLINK - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,7.949.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RUMBAI BELL MOON - EMAS 17K - BUNGA TANJUNG GOLD,8.323.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE WILLOW LEAF DAUN B - EMAS 17K - BUNGA TANJUNG GOLD,13.104.000,Pilih Lokal,4.3,6 terjual
GELANG VAR 28 - EMAS 17K - BUNGA TANJUNG GOLD,3.962.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KIDS ANAK BANGLE MELODY B - EMAS 17K - BUNGA TANJUNG GOLD,6.817.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SISIK NAGA SQUARE - EMAS 17K - BUNGA TANJUNG GOLD,53.520.000,Pilih Lokal,5.0,9 terjual
GELANG BANGLE KELLY BOLD BOLD - EMAS 18K - BUNGA TANJUNG GOLD,34.528.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LISTRING KIARA E - EMAS 17K - BUNGA TANJUNG GOLD,20.452.000,Pilih Lokal,4.9 Penilaian Toko,
KALUNG ROSARIO KRAWANG - EMAS 17K - BUNGA TANJUNG GOLD,19.026.000,Pilih Lokal,5.0,1 terjual
GELANG SERUT SAKURA WARNA BLINK - EMAS 17K - BUNGA TANJUNG GOLD,8.197.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RUMBAI PAPERCLIP LOVE B - EMAS 17K - BUNGA TANJUNG GOLD,19.470.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FLOREA C - EMAS 17K - BUNGA TANJUNG GOLD,6.293.000,,4.9 Penilaian Toko,
GELANG FASHION BANGLE PELURU - EMAS 17K - BUNGA TANJUNG GOLD,30.940.000,Pilih Lokal,5.0,2 terjual
GELANG CHOKER PIPIH BOBBA 3 WARNA - EMAS 17K - BUNGA TANJUNG GOLD,41.297.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KIDS ANAK SIMFONI BELL - EMAS 17K - BUNGA TANJUNG GOLD,6.086.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LISTRING KIARA A - EMAS 17K - BUNGA TANJUNG GOLD,39.330.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CLOVER RUMBAI BINTANG - EMAS 17K - BUNGA TANJUNG GOLD,26.270.000,Pilih Lokal,5.0,2 terjual
GELANG SERUT CLOVER BUNGA 3 - EMAS 17K - BUNGA TANJUNG GOLD,7.056.000,13 terjual,5.0,
GELANG BULLET CRUSH - SDW GOLD - EMAS 18K - BUNGA TANJUNG GOLD,15.732.000,Pilih Lokal,5.0,1 terjual
GELANG LUXURY CHAIN BOBBA BUBBLE POP C - EMAS 17K - BUNGA TANJUNG GOLD,22.025.000,Pilih Lokal,5.0,1 terjual
GELANG FLOREA - EMAS 17K - BUNGA TANJUNG GOLD,5.900.000,,4.9 Penilaian Toko,
GELANG SERUT KANIA 2W - EMAS 17K - BUNGA TANJUNG GOLD,6.210.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BAGUETTE DAZZLING B - SDW GOLD - EMAS 18K BUNGA TANJUNG GOLD,7.204.000,Pilih Lokal,5.0,81 terjual
GELANG TINJU KUCING BLINK - EMAS 17K - BUNGA TANJUNG GOLD,38.019.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIARA BLINK B - EMAS 17K - BUNGA TANJUNG GOLD,21.362.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU CLOVER B - EMAS 17K - BUNGA TANJUNG GOLD,7.825.000,Pilih Lokal,4.9,30 terjual
GELANG CHOKER BLACK LOVE- EMAS 17K - BUNGA TANJUNG GOLD,9.688.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE POLOS WAVE E - EMAS 17K - BUNGA TANJUNG GOLD,15.372.000,Pilih Lokal,5.0,9 terjual
GELANG CAROUSEL SERIES - EMAS 17K - BUNGA TANJUNG GOLD,8.064.000,Pilih Lokal,4.9,17 terjual
GELANG RANTAI HOLLOW BLINK - EMAS 17K - BUNGA TANJUNG GOLD,65.258.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT CLOVER LISTRING LAYER B - EMAS 17K - BUNGA TANJUNG GOLD,17.140.000,Pilih Lokal,5.0,4 terjual
GELANG BANGLE LISTRING DISCO - EMAS 17K - BUNGA TANJUNG GOLD,20.845.000,Pilih Lokal,5.0,1 terjual
GELANG SERUT HOLOGRAM FLOWER KUPU - EMAS 17K - BUNGA TANJUNG GOLD,5.113.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU BAMBU BLINK - EMAS 17K - BUNGA TANJUNG GOLD,39.854.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FIGARO BOLD - EMAS 18K - BUNGA TANJUNG GOLD,4.284.000,Pilih Lokal,5.0,7 terjual
GELANG SERUT ULAR A - EMAS 17K - BUNGA TANJUNG GOLD,6.804.000,Pilih Lokal,5.0,7 terjual
GELANG MOLINA LOVE ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,6.211.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIDS ANAK SNOOPY CROWN - EMAS 17K - BUNGA TANJUNG GOLD,5.216.000,,4.9 Penilaian Toko,
GELANG SERUT RUMBAI BOBBA BOLD - EMAS 18K - BUNGA TANJUNG GOLD,7.949.000,Pilih Lokal,4.9 Penilaian Toko,
CINCIN STAR FLOWER BOLD - EMAS 18K - BUNGA TANJUNG GOLD,7.560.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KIDS ANAK HELLO KITTY STAR - EMAS 17K - BUNGA TANJUNG GOLD,5.113.000,,4.9 Penilaian Toko,
GELANG BANGLE OCEAN BREEZE - EMAS 17K - BUNGA TANJUNG GOLD,14.407.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIDS ANAK CINNAMOROLL HATI - EMAS 17K - BUNGA TANJUNG GOLD,5.113.000,,4.9 Penilaian Toko,
GELANG LAYER H CHAIN BOLD - EMAS 18K - BUNGA TANJUNG GOLD,11.356.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SNOWBALL LISTRING - EMAS 17K - BUNGA TANJUNG GOLD,16.125.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG OMBRE PITA - EMAS 17K - BUNGA TANJUNG GOLD,4.968.000,,4.9 Penilaian Toko,
GELANG KIPAS BOBBA WT - EMAS 17K - BUNGA TANJUNG GOLD,5.092.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LAYER PAPERCLIP BOLA PASIR - EMAS 17K - BUNGA TANJUNG GOLD,23.074.000,Pilih Lokal,5.0,3 terjual
GELANG PAPERCLIP LUNA MOON STAR  - EMAS 17K - BUNGA TANJUNG GOLD,5.982.000,Pilih Lokal,4.9 Penilaian Toko,
CINCIN TINJU BOBA KUPU BOLD - EMAS 18K - BUNGA TANJUNG GOLD,4.662.000,Pilih Lokal,5.0,3 terjual
GELANG CLOVER SERUT THIN BS - EMAS 17K - BUNGA TANJUNG GOLD,5.244.000,,4.9 Penilaian Toko,
GELANG SERUT RED BAG - EMAS 17K - BUNGA TANJUNG GOLD,7.700.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE CLOVER LISTRING LAYER C - EMAS 17K - BUNGA TANJUNG GOLD,17.043.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SHOPIA WAVE POLOS B - EMAS 17K - BUNGA TANJUNG GOLD,15.898.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG ETERNA 2 LAYER BOLD - EMAS 18K - BUNGA TANJUNG GOLD,30.802.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE BELLA SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,14.159.000,Pilih Lokal,4.0,2 terjual
GELANG KIDS ANAK SNOOPY CROWN - EMAS 17K - BUNGA TANJUNG GOLD,4.595.000,,4.9 Penilaian Toko,
GELANG 2 LAYER STARDUST - EMAS 17K - BUNGA TANJUNG GOLD,6.831.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SANRIO CINNAMOROLL STAR - EMAS 17K - BUNGA TANJUNG GOLD,6.210.000,,4.9 Penilaian Toko,
GELANG BANGLE GEMBOK - EMAS 17K - BUNGA TANJUNG GOLD,18.144.000,Pilih Lokal,5.0,18 terjual
GELANG SLIMLINK BOLD - EMAS 18K - BUNGA TANJUNG GOLD,8.942.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT STARDUST B - EMAS 17K - BUNGA TANJUNG GOLD,5.962.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SISIK NAGA ARSIR A - EMAS 17K - BUNGA TANJUNG GOLD,27.793.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT HOLOGRAM PITA HATI BLINK B - EMAS 17K - BUNGA TANJUNG GOLD,4.099.000,,4.9 Penilaian Toko,
GELANG BANGLE LISTRING O - EMAS 17K - BUNGA TANJUNG GOLD,18.354.000,Pilih Lokal,4.9 Penilaian Toko,
CINCIN INFINITY CRUVE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,6.804.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE BOBBA BUBBLE POP - EMAS 17K - BUNGA TANJUNG GOLD,22.811.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SISIK NAGA RINGAN VARIASI A - EMAS 17K - BUNGA TANJUNG GOLD,7.560.000,Pilih Lokal,4.8,8 terjual
GELANG INFINITY SIMPUL BOLD - EMAS 18K - BUNGA TANJUNG GOLD,6.458.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT LISTRING KIARA B - EMAS 17K - BUNGA TANJUNG GOLD,9.439.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KIDS ANAK BANGLE HELLO KITTY D - EMAS 17K - BUNGA TANJUNG GOLD,7.342.000,,4.9 Penilaian Toko,
GELANG BANGLE SISIK VARIASI KUCING - EMAS 17K - BUNGA TANJUNG GOLD,29.104.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LAYER CHOKER SHIMMER - EMAS 17K - BUNGA TANJUNG,19.927.000,Pilih Lokal,5.0,4 terjual
GELANG VAR 25 - EMAS 17K - BUNGA TANJUNG GOLD,4.601.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KIDS ANAK MOANA - EMAS 17K - BUNGA TANJUNG GOLD,5.670.000,,4.9 Penilaian Toko,
GELANG VAR 67 - EMAS 17K - BUNGA TANJUNG GOLD,10.801.500,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI PAPERCLIP VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,10.060.000,Pilih Lokal,4.8,85 terjual
GELANG BAGUETTE LUXE - SDW GOLD - EMAS 18K - BUNGA TANJUNG GOLD,7.949.000,Pilih Lokal,4.9,31 terjual
GELANG SERUT FLOWER STAR BLINK - EMAS 17K - BUNGA TANJUNG GOLD,5.713.000,Pilih Lokal,4.9 Penilaian Toko,
CINCIN STARDUST - EMAS 17K - BUNGA TANJUNG GOLD,2.772.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP ROUND LOVE - EMAS 17K - BUNGA TANJUNG GOLD,9.191.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SISIK NAGA PLAT BLINK - EMAS 17K - BUNGA TANJUNG GOLD,31.595.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG GOLDEN CALESTIA A - EMAS 17K - BUNGA TANJUNG GOLD,32.789.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT KIARA SOLITAIRE - EMAS 17K - BUNGA TANJUNG GOLD,4.720.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE SEASHELL DA-YUNG - EMAS 17K - BUNGA TANJUNG GOLD,9.439.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT SOLITAIRE RABBIT - EMAS 17K - BUNGA TANJUNG GOLD,6.031.000,Pilih Lokal,5.0,1 terjual
GELANG KEPANG SHIMMER I - EMAS 17K - BUNGA TANJUNG GOLD,26.951.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIANA INIFINITY CHARM - EMAS 17K - BUNGA TANJUNG GOLD,17.388.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI OVALINE - EMAS 17K - BUNGA TANJUNG GOLD,28.690.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE POLOS OVAL B - EMAS 17K - BUNGA TANJUNG GOLD,13.482.000,Pilih Lokal,5.0,5 terjual
GELANG BANGLE PITA SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,8.653.000,Pilih Lokal,5.0,2 terjual
GELANG CHOKER LAYER BOBBA - EMAS 17K - BUNGA TANJUNG GOLD,17.305.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE BOBBA BUBBLE POP B - EMAS 17K - BUNGA TANJUNG GOLD,17.436.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HOLLOW LOVE DAUN - EMAS 17K - BUNGA TANJUNG GOLD,7.079.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG ELASTIS SNOWBALL - EMAS 17K - BUNGA TANJUNG GOLD,15.327.000,Pilih Lokal,5.0,29 terjual
GELANG HOLLOW KEPANG RINGAN HATI B - EMAS 17K - BUNGA TANJUNG GOLD,7.211.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG GELANG HOLLOW BOBBA PEARL YU - EMAS 17K - BUNGA TANJUNG GOLD,6.817.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KIDS ANAK DISNEY DAISY DUCK - EMAS 17K - BUNGA TANJUNG GOLD,5.900.000,,4.9 Penilaian Toko,
GELANG BANGLE KIANA INFINITY - EMAS 17K - BUNGA TANJUNG GOLD,9.315.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG OVALIS CHAIN BOLD - EMAS 18K - BUNGA TANJUNG GOLD,9.067.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KIDS ANAK BOBBA PENGUIN - EMAS 17K - BUNGA TANJUNG GOLD,5.244.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FASHION BANGLE T SLIM - EMAS 17K - BUNGA TANJUNG GOLD,24.490.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG NEW ARRIVAL 3 - EMAS 17K - BUNGA TANJUNG GOLD,23.225.000,Pilih Lokal,4.9 Penilaian Toko,
CINCIN ARUNA TWIN BAR  BOLD - EMAS 18K - BUNGA TANJUNG GOLD,6.426.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KUNIA PLAT BLINK - EMAS 17K - BUNGA TANJUNG GOLD,7.079.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HOLLOW VAR HATI - EMAS 17K - BUNGA TANJUNG GOLD,9.177.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CLOVER C - EMAS 17K - BUNGA TANJUNG GOLD,4.968.000,,4.9 Penilaian Toko,
GELANG KIDS ANAK HELLO KITTY BELL- EMAS 17K - BUNGA TANJUNG GOLD,6.086.000,,4.9 Penilaian Toko,
