"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","truncate 2"
"https://shopee.co.id/KALUNG-KIDS-ANAK-PRINCESS-SNOW-WHITE-D-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.57860424478?extraParams=%7B%22display_model_id%22%3A302614133379%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wn-mo6t4c5d2mma38","KALUNG KIDS ANAK PRINCESS SNOW WHITE D - EMAS 17K - BUNGA TANJUNG GOLD","6.930.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-36-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.43705154212?extraParams=%7B%22display_model_id%22%3A420913477569%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wm-mo6bkkz1c7wkaf","KALUNG VAR 36 - EMAS 17K - BUNGA TANJUNG GOLD","9.346.600","5.0","Pilih Lokal","1 terjual"
"https://shopee.co.id/KALUNG-CHOKER-CLEA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.42480672516?extraParams=%7B%22display_model_id%22%3A350887003606%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mnxrzr4b5qfa84","KALUNG CHOKER CLEA - EMAS 17K - BUNGA TANJUNG GOLD","10.332.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-57-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.49360238159?extraParams=%7B%22display_model_id%22%3A395897724589%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-mo0z0ilxxaf6e1","KALUNG VAR 57 - EMAS 17K - BUNGA TANJUNG GOLD","6.584.950","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-55-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.57557732592?extraParams=%7B%22display_model_id%22%3A380897642142%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wm-mo0x4ppfwc1tf9","KALUNG VAR 55 - EMAS 17K - BUNGA TANJUNG GOLD","8.372.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-53-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.49507752347?extraParams=%7B%22display_model_id%22%3A315898186073%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mo0x4ppfqps1b1","KALUNG VAR 53 - EMAS 17K - BUNGA TANJUNG GOLD","9.621.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-SNOOPY-C-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.41476639643?extraParams=%7B%22display_model_id%22%3A307186224516%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224r-mkulxv1wxs07e6","KALUNG SNOOPY C - EMAS 17K - BUNGA TANJUNG GOLD","5.418.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-26-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.44557641305?extraParams=%7B%22display_model_id%22%3A380828486472%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wo-mne7ccfxnpxdbd","KALUNG VAR 26 - EMAS 17K - BUNGA TANJUNG GOLD","6.678.000","5.0","2 terjual",""
"https://shopee.co.id/KALUNG-VAR-126-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27109758101?extraParams=%7B%22display_model_id%22%3A420745161948%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822ws-mmsmhvsxsb2e91","KALUNG VAR 126 - EMAS 17K - BUNGA TANJUNG GOLD","7.543.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-KIDS-ANAK-BINTANG-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.42609427920?extraParams=%7B%22display_model_id%22%3A208619459931%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224v-mkvzm72r2knb2d","KALUNG KIDS ANAK BINTANG BLINK - EMAS 17K - BUNGA TANJUNG GOLD","6.426.000","4.9 Penilaian Toko","Pilih Lokal",""
